friend_steam_id,steam_id
76561197967874677,76561198819228126
 76561198088049221,76561198819228126
 76561198167483682,76561198819228126
 76561198201747689,76561198819228126
 76561198237449604,76561198819228126
 76561198349803260,76561198819228126
 76561198366966242,76561198819228126
 76561198401997372,76561198819228126
 76561198977265488,76561198819228126
 76561199079974726,76561198819228126
76561198006135120,76561198027220374
 76561198006768538,76561198027220374
 76561198019736879,76561198027220374
 76561198032429001,76561198027220374
 76561198044781444,76561198027220374
 76561198046775896,76561198027220374
 76561198056565695,76561198027220374
 76561198066766400,76561198027220374
 76561198078398886,76561198027220374
 76561198085226218,76561198027220374
 76561198085573274,76561198027220374
 76561198098167787,76561198027220374
 76561198115943684,76561198027220374
 76561198119720609,76561198027220374
 76561198184898602,76561198027220374
 76561198196625259,76561198027220374
 76561198300354785,76561198027220374
 76561198333936368,76561198027220374
 76561198354480151,76561198027220374
 76561198366687937,76561198027220374
 76561198382555482,76561198027220374
 76561198385920754,76561198027220374
 76561199141423945,76561198027220374
 76561199186629308,76561198027220374
 76561199376771852,76561198027220374
76561198067018996,76561199652583234
 76561198105780682,76561199652583234
76561198103276027,76561198218115652
 76561198269466210,76561198218115652
 76561199186990450,76561198218115652
76561198013195698,76561197997501890
 76561198018610830,76561197997501890
 76561198080033268,76561197997501890
 76561198119285886,76561197997501890
 76561198161013551,76561197997501890
 76561198173554369,76561197997501890
 76561198188145646,76561197997501890
 76561198203108752,76561197997501890
 76561198341556189,76561197997501890
 76561198401522803,76561197997501890
76561198017364369,76561198866018976
 76561198027767187,76561198866018976
 76561198035645648,76561198866018976
 76561198047512036,76561198866018976
 76561198047690253,76561198866018976
 76561198049993541,76561198866018976
 76561198062643022,76561198866018976
 76561198065159840,76561198866018976
 76561198068323004,76561198866018976
 76561198079303111,76561198866018976
 76561198098001834,76561198866018976
 76561198098868386,76561198866018976
 76561198100948531,76561198866018976
 76561198102675354,76561198866018976
 76561198103358453,76561198866018976
 76561198104324249,76561198866018976
